Name,Family,Place1,Place2,Place3,Place4,Place5,Color1,Color2,Color3,Color4,Color5,path
Phlox,Polemoniaceae,North America,India,0,0,0,Pale Blue,Voilet,Pink,Bright Red,White,phlox.jpg
Rose,Rosaceae,Asia,Europe,North America,NorthWestern Africa,0,Red,White,Yellow,Pink,Orange,rose.jpg
Calendula,Asteraceae,SouthWestern Asia,Western Europe,Macaronesia,Mediterranean,0,Orange,Yellow,0,0,0,calendula.jpg
Iris,Iridaceae,Europe,Middle East,Northern Africa,Asia,North America,Blue,Purple,White,Yellow,Orange,iries.jpg
Leucanthemum Maximum,Asteraceae,France,Spain,0,0,0,White,Yellow,0,0,0,Leucanthemum.jpg
Bellflower,Campanulaceae,Asia,Africa,0,0,0,Blue,Purple,White,Pink,0,bellflower.jpg
Viola,Violaceae,Northen Hemisphere,Hawaii,Australasia,South America,0,Blue,Yellow,White,Cream,0,viola.jpg
Rudbeckia Laciniata,Asteraceae,North America,Canada,United States,0,0,Yellow,Green,0,0,0,rudbeckia_laciniata.jpg
Peony,Paeoniaceae,Asia,Europe,North America,0,0,White,Pink,Rose,Red,0,peony.jpg
Aquilegia,Ranunculaceae,Meadows,Woodlanda,Northen Hemisphere,0,0,Red,Yellow,White,Blue,Pink,AQUILEGIA.jpg
